124,,124.,124,C8,Аппаратчик дубления (кожевенное и кожсырьевое производство),Ошлаш аппаратчиси (чарм ва чарм хом-ашё ишлаб чиқариш),8265,П,4 — 6,ССПО,3320900,Oshlash apparatchisi (charm va charm xom-ashyoishlab chiqarish),i,125
125,,125.,125,C8,Аппаратчик дубления (меховое производство),Ошлаш аппаратчиси (мўйна ишлаб чиқариш),8265,П,2 — 6,ССПО,3320900,Oshlash apparatchisi (mo‘yna ishlab chiqarish),i,126
126,,126.,126,C8,Аппаратчик дубления и сушки белковой оболочки,Оқсилли пўстларни ошлаш ва қуритиш аппаратчиси,8271,П,2 — 6,ССПО,3321000,Oqsilli po‘stlarni oshlash va quritish apparatchisi,i,127
127,,127.,127,C8,Аппаратчик енолизации,Еноллаш аппаратчиси,8221,П,3 — 5,ССПО,3320400,Enollash apparatchisi,i,128
128,,128.,128,C8,Аппаратчик желатинизации,Желатинлаш аппаратчиси,8271,П,2 — 5,ССПО,3321000,Jelatinlash apparatchisi,i,129
129,,129.,129,C8,Аппаратчик жироочистки,Ёғ тозалаш аппаратчиси,8271,П,2 — 6,ССПО,3321000,Yog‘ tozalash apparatchisi,i,130
130,,130.,130,C8,Аппаратчик замораживания эндокринно-ферментного сырья,Эндокриннофермент хом-ашёни музлатиш аппаратчиси,8271,П,2 — 6,ССПО,3321000,Endokrinnoferment xom-ashyoni muzlatish apparatchisi,i,131
131,,131.,131,C8,Аппаратчик запаривания,Буғлаб ишлов бериш аппаратчиси,8261,П,1 — 4,ССПО,3320900,Bug‘labqishloq berish apparatchisi,i,132
132,,132.,132,C8,Аппаратчик запаривания одонков,Одонкаларни буғлаш аппаратчиси,8261,П,2,ССПО,3320900,Odonkalarni Bug‘lash apparatchisi,i,133
133,,133.,133,C8,Аппаратчик золения,Чўктириш аппаратчиси,8265,П,2 — 6,ССПО,3320900,Cho‘ktirish apparatchisi,i,134
134,,134.,134,C8,Аппаратчик золки,Чўкма аппаратчиси,8251,П,3 — 6,ССПО,3320400,Cho‘kma apparatchisi,i,135
135,,135.,135,C8,Аппаратчик извлечения побочных продуктов,Қўшимча маҳсулотларни ажратиб олиш  аппаратчиси,8225,П,2 — 6,ССПО,3320400,qo‘shimcha mahsulotlarni ajratib olish  apparatchisi,i,136
136,,136.,136,C8,Аппаратчик изготовления армированных прессовочных материалов,Арматурали пресслаш материаллари тайёрлаш аппаратчиси,8226,П,3 — 6,ССПО,3320400,Armaturali presslash materiallari tayyorlash apparatchisi,i,137
137,,137.,137,C8,Аппаратчик изготовления баритмассы,Баритмасса  тайёрлаш аппаратчиси,8251,П,2 — 6,ССПО,3320400,Baritmassa  tayyorlash apparatchisi,i,138
138,,138.,138,C8,Аппаратчик изготовления искусственного шеелита,Суний шеелит тайёрлаш аппаратчиси,8290,П,3 — 5,ССПО,3320400,Suniy sheelit tayyorlash apparatchisi,i,139
139,,139.,139,C8,Аппаратчик изготовления нетканных стекловолокнистых материалов,Шишапластик толалардан нотўқима материалларни ишлаб чиқариш аппаратчиси,8226,П,4,ССПО,3320400,Shishaplastik tolalardan noto‘qima materiallarni ishlab chiqarish apparatchisi,i,140
140,,140.,140,C8,Аппаратчик изготовления ориентированной пленки,Йўналтирилган плёнка тайёрлаш аппаратчиси,8232,П,2 — 6,ССПО,3320400,Yo‘naltirilgan plyonka tayyorlash apparatchisi,i,141
141,,141.,141,C8,Аппаратчик изготовления пленочных материалов методом полива,Қуйиш усулида плёнкали материаллар тайёрлаш аппаратчиси,8232,П,2 — 6,ССПО,3320400,quyishhuquqida plyonkali materiallar tayyorlash apparatchisi,i,142
142,,142.,142,C8,Аппаратчик изготовления резиновых нитей,Резина иплар тайёрлаш аппаратчиси,8231,П,2 — 5,ССПО,3320400,Rezina iplar tayyorlash apparatchisi,i,143
143,,143.,143,C8,Аппаратчик изготовления термопасты,Термопасталар тайёрловчи аппаратчи,8232,П,4,ССПО,3320400,Termopastalar tayyorlovchi apparatchi,i,144
144,,144.,144,C8,Аппаратчик измельчения и предсозревания,Майдалаш ва бирламчи пишириш аппаратчиси,8226,П,2 — 4,ССПО,3320400,Maydalash va birlamchi pishirish apparatchisi,i,145
145,,145.,145,C8,Аппаратчик изомеризации,Изомеризация аппаратчиси,8154,П,3 — 5,ССПО,3320400,Izomerizatsiya apparatchisi,i,146
146,,146.,146,C8,Аппаратчик имидирования,Имидирлаш аппаратчиси,8159,П,5,ССПО,3320400,Imidirlash apparatchisi,i,147
147,,147.,147,C8,Аппаратчик ионного обмена,Ион алмашинув аппаратчиси,8221,П,3 — 5,ССПО,3320400,Ion almashinuv apparatchisi,i,148
148,,148.,148,C8,Аппаратчик ионообменной очистки глицерина,Глицеринни ионалмашинувли тозалаш аппаратчиси,8272,П,2 — 6,ССПО,3321000,Glitserinni ionalmashinuvli tozalash apparatchisi,i,149
149,,149.,149,C8,Аппаратчик ионообменной очистки химико-фармацевтических препаратов,Кимёвий-фармацевтик препаратларни ионалмашув тозалаши аппаратчиси,8221,П,2 — 6,ССПО,3320400,Kimyoviy-farmatsevtik preparatlarni ionalmashuv tozalashi apparatchisi,i,150
150,,150.,150,C8,Аппаратчик испарения,Буғлантириш аппаратчиси,8154,П,3 — 5,ССПО,3320400,Bug‘lantirish apparatchisi,i,151
151,,151.,151,C8,Аппаратчик испарительной установки,Буғлантириш қурилмаси аппаратчиси,7136,П,4,ССПО,3320400,Bug‘lantirish qurilmasi apparatchisi,i,152
152,,152.,152,C8,Аппаратчик йодирования,Йодлаш аппаратчиси,8221,П,4,ССПО,3320400,Yodlash apparatchisi,i,153
