objectid,region_name,countryside_name,parent_code,district_name,district_id,countryside_id,shape_Length,shape_Area
171,Andijon viloyati,Toshxovuz MFY,1703,Jalaquduq tumani,1703211,1703211029,33496.4013705617,12983981.2091173
172,Andijon viloyati,G‘alaba MFY,1703,Jalaquduq tumani,1703211,1703211020,24106.4357529475,14648484.446201121
173,Andijon viloyati,Yangi ko‘rpa MFY,1703,Jalaquduq tumani,1703211,1703211033,29050.4726006389,7308423.97130113
174,Andijon viloyati,Qashqar MFY,1703,Jalaquduq tumani,1703211,1703211026,23008.106824609,9026978.618096389
175,Andijon viloyati,Kesak MFY,1703,Jalaquduq tumani,1703211,1703211024,14120.5082473818,8458122.763948048
176,Andijon viloyati,Sharxoncheki MFY,1703,Jalaquduq tumani,1703211,1703211032,21224.9715049668,9449594.500771051
177,Andijon viloyati,G‘ozicheki MFY,1703,Jalaquduq tumani,1703211,1703211021,15764.7455872642,8717373.413280396
178,Andijon viloyati,Beshkaram MFY,1703,Jalaquduq tumani,1703211,1703211018,11196.9288996011,6675379.103593088
179,Andijon viloyati,Xasanqovoq MFY,1703,Jalaquduq tumani,1703211,1703211031,10664.322606977,5194840.88071364
180,Andijon viloyati,Ko‘tarma MFY,1703,Jalaquduq tumani,1703211,1703211056,22740.2430804866,14032104.017339876
181,Andijon viloyati,Do‘stlik MFY,1703,Jalaquduq tumani,1703211,1703211054,15163.7599636934,9284490.703503307
182,Andijon viloyati,Abdullabiy MFY,1703,Jalaquduq tumani,1703211,1703211052,18750.6563848202,10866589.273614705
183,Andijon viloyati,Oxunboboev MFY,1703,Jalaquduq tumani,1703211,1703211058,17477.1072917354,11372231.7440271
184,Andijon viloyati,Ibrat MFY,1703,Jalaquduq tumani,1703211,1703211055,13332.431752617,7140355.0293493755
185,Andijon viloyati,Qalambek MFY,1703,Jalaquduq tumani,1703211,1703211057,18387.9266592756,10991400.708268486
186,Andijon viloyati,Ittifoq Yujniy MFY,1703,Jalaquduq tumani,1703211,1703211063,58181.3601874517,50061969.10541309
187,Andijon viloyati,Qoragul MFY,1703,Jalaquduq tumani,1703211,1703211010,19218.1340415477,8735635.082323741
188,Andijon viloyati,Do‘ngqishloq MFY,1703,Jalaquduq tumani,1703211,1703211005,15435.5526713981,8805422.543852676
189,Andijon viloyati,Bo‘ston MFY,1703,Jalaquduq tumani,1703211,1703211003,17506.7145834521,9886748.539544025
190,Andijon viloyati,Jalaquduq MFY,1703,Jalaquduq tumani,1703211,1703211006,14642.652321046,6780944.971832866
191,Andijon viloyati,Yangisor MFY,1703,Jalaquduq tumani,1703211,1703211017,22003.7720425296,7884302.130026352
192,Andijon viloyati,O‘rg‘i MFY,1703,Jalaquduq tumani,1703211,1703211015,14765.8145031856,5949246.275343906
193,Andijon viloyati,Qilichmozor MFY,1703,Jalaquduq tumani,1703211,1703211009,21573.4519592527,10772966.831351848
194,Andijon viloyati,Xamzaobod MFY,1703,Jalaquduq tumani,1703211,1703211016,24061.0404559934,10714441.356540352
195,Andijon viloyati,Madaniyat MFY,1703,Jalaquduq tumani,1703211,1703211012,11749.4005867563,5676103.543681117
196,Andijon viloyati,Qorayontoq MFY,1703,Jalaquduq tumani,1703211,1703211011,17213.3286414281,9392923.189788738
197,Andijon viloyati,Kapa MFY,1703,Jalaquduq tumani,1703211,1703211007,12274.6232034099,4640369.4214235125
198,Andijon viloyati,To‘racheki MFY,1703,Jalaquduq tumani,1703211,1703211014,14690.4552314766,6011492.91449105
199,Andijon viloyati,Katta polvon MFY,1703,Jalaquduq tumani,1703211,1703211008,25093.7903701201,19823785.739752576
200,Andijon viloyati,Dostonobod MFY,1703,Jalaquduq tumani,1703211,1703211004,37529.7583036183,19808704.82648416
201,Andijon viloyati,Navoiy Yujniy MFY,1703,Jalaquduq tumani,1703211,1703211062,8718.7571747143,1548998.6572437524
202,Andijon viloyati,G‘ayrat MFY,1703,Jalaquduq tumani,1703211,1703211039,32299.116603608,23681273.03387684
203,Andijon viloyati,Dexqonobod MFY,1703,Jalaquduq tumani,1703211,1703211041,26805.6405032406,28401001.86984477
204,Andijon viloyati,Tuyalas MFY,1703,Jalaquduq tumani,1703211,1703211059,10823.7177702117,1843776.3850631346
205,Andijon viloyati,Yangichek MFY,1703,Jalaquduq tumani,1703211,1703211061,5463.1819940599,1143693.0366900475
206,Andijon viloyati,O‘roqchitepa MFY,1703,Jalaquduq tumani,1703211,1703211060,6164.5200469422,1151159.8620320759
207,Andijon viloyati,Qadaqsin MFY,1703,Jalaquduq tumani,1703211,1703211025,5984.5565957559,1433451.179599064
208,Andijon viloyati,Namuna MFY,1703,Jalaquduq tumani,1703211,1703211013,6880.4492307147,1687419.8768936207
209,Andijon viloyati,Boycheki MFY,1703,Jalaquduq tumani,1703211,1703211002,7653.4788781208,1866438.0921626014
210,Andijon viloyati,So‘fiqishloq MFY,1703,Jalaquduq tumani,1703211,1703211047,7385.2953441386,1033021.9205445275
211,Andijon viloyati,Bozorboshi MFY,1703,Jalaquduq tumani,1703211,1703211037,6250.7193690247,1027906.0663971987
