objectid,region_name,countryside_name,parent_code,district_name,district_id,countryside_id_main,shape_Length,shape_Area,name_standardized_main,tin,name,countryside_id_new,sector,name_standardized_new,name_match
112,Andijon viloyati,Alisher Navoiy MFY,1703,Xonabod shahar,1703408,1703408013.0,11565.812594563,3045236.9968609307,alisher navoiy mfy,,,,,,
113,Andijon viloyati,Teyit MFY,1703,Xonabod shahar,1703408,1703408011.0,9528.3402459453,3745331.673713319,teyit mfy,,,,,,
114,Andijon viloyati,Istiqlol MFY,1703,Xonabod shahar,1703408,1703408010.0,7536.5744841462,2686909.3360150484,istiqlol mfy,202511195.0,ISTIQLOL,1357.0,3.0,istiqlol,istiqlol mfy
115,Andijon viloyati,Xidirsha MFY,1703,Xonabod shahar,1703408,1703408004.0,17379.9685493081,11852055.82450466,hidirsha mfy,202579775.0,XIDIRSHA,1351.0,1.0,hidirsha,hidirsha mfy
116,Andijon viloyati,Xonobod MFY,1703,Xonabod shahar,1703408,1703408006.0,8410.2976581775,1463627.812521347,honobod mfy,,,,,,
117,Andijon viloyati,Yuksalish MFY,1703,Xonabod shahar,1703408,1703408007.0,9328.9745524106,3564578.86386093,yuksalish mfy,202575647.0,YUKSALISH,1354.0,2.0,yuksalish,yuksalish mfy
118,Andijon viloyati,Yangi xayot MFY,1703,Xonabod shahar,1703408,1703408008.0,9123.9721530914,4014505.007220523,yangi hayot mfy,207167708.0,YANGI XAYOT,1355.0,2.0,yangi hayot,yangi hayot mfy
119,Andijon viloyati,A.Fitrat MFY,1703,Xonabod shahar,1703408,1703408005.0,2766.3319408414,399551.4225955996,afitrat mfy,,,,,,
120,Andijon viloyati,Qashqar MFY,1703,Buloqboshi tumani,1703210,1703210019.0,33501.5342205781,29037197.378375985,qashqar mfy,,,,,,
121,Andijon viloyati,Zarg‘oldoq MFY,1703,Buloqboshi tumani,1703210,1703210025.0,18336.0240466045,7516294.741543275,zargoldoq mfy,,,,,,
122,Andijon viloyati,Guliston MFY,1703,Buloqboshi tumani,1703210,1703210003.0,9672.380059629,3426997.5335510965,guliston mfy,202828092.0,GULISTON,656.0,1.0,guliston,guliston mfy
123,Andijon viloyati,Barlos MFY,1703,Buloqboshi tumani,1703210,1703210027.0,18657.9135215831,9837131.60401602,barlos mfy,,,,,,
124,Andijon viloyati,Chaqar MFY,1703,Buloqboshi tumani,1703210,1703210007.0,19531.9497313108,9563586.35890854,chaqar mfy,,,,,,
125,Andijon viloyati,Qumguzar MFY,1703,Buloqboshi tumani,1703210,1703210005.0,11216.0914530671,5763153.504189656,qumguzar mfy,202828124.0,QUMGUZAR,657.0,1.0,qumguzar,qumguzar mfy
126,Andijon viloyati,Farovon MFY,1703,Buloqboshi tumani,1703210,1703210006.0,7851.5155263513,2200880.59846694,farovon mfy,,,,,,
127,Andijon viloyati,Xontepa MFY,1703,Buloqboshi tumani,1703210,1703210002.0,6747.8307205697,1491455.727977048,hontepa mfy,,,,,,
128,Andijon viloyati,Toshkechik MFY,1703,Buloqboshi tumani,1703210,1703210001.0,8381.3339331777,1818751.624610307,toshkechik mfy,203087114.0,TOSHKECHIK,659.0,1.0,toshkechik,toshkechik mfy
129,Andijon viloyati,Uchtepa MFY,1703,Buloqboshi tumani,1703210,1703210024.0,22438.6039230416,10888461.449249728,uchtepa mfy,,,,,,
130,Andijon viloyati,Tinchlik MFY,1703,Buloqboshi tumani,1703210,1703210026.0,10078.8862621663,3863788.522574297,tinchlik mfy,202828322.0,TINCHLIK,678.0,3.0,tinchlik,tinchlik mfy
131,Andijon viloyati,Soxibkor MFY,1703,Buloqboshi tumani,1703210,1703210018.0,12439.0851912643,7104495.38336466,sohibkor mfy,202828250.0,SOXIBKOR,677.0,3.0,sohibkor,sohibkor mfy
132,Andijon viloyati,Nurzamin MFY,1703,Buloqboshi tumani,1703210,1703210015.0,12115.2314863336,3426189.405041331,nurzamin mfy,,,,,,
133,Andijon viloyati,Sarbontepa MFY,1703,Buloqboshi tumani,1703210,1703210020.0,29636.0040605497,29533424.797701865,sarbontepa mfy,,,,,,
134,Andijon viloyati,Shirmonbuloq MFY,1703,Buloqboshi tumani,1703210,1703210023.0,15902.9653281595,9099616.109784124,shirmonbuloq mfy,203006291.0,SHIRMONBULOQ,680.0,3.0,shirmonbuloq,shirmonbuloq mfy
135,Andijon viloyati,Qaqir MFY,1703,Buloqboshi tumani,1703210,1703210022.0,17312.0211882214,17317362.45422998,qaqir mfy,,,,,,
136,Andijon viloyati,Navoiy MFY,1703,Buloqboshi tumani,1703210,1703210021.0,11926.2924707412,6670723.496658524,navoiy mfy,,,,,,
137,Andijon viloyati,Rivoj MFY,1703,Buloqboshi tumani,1703210,1703210030.0,12296.0582710505,6113216.530726,rivoj mfy,,,,,,
138,Andijon viloyati,Bozorboshi MFY,1703,Buloqboshi tumani,1703210,1703210029.0,25764.3838077347,9866929.41185084,bozorboshi mfy,202823076.0,BOZORBOSHI,683.0,4.0,bozorboshi,bozorboshi mfy
