objectid,region_name,countryside_name,region_id,district_name,district_id,countryside_id_main,shape_Length,shape_Area,name_standardized_main,tin,name,countryside_id_new,sector,name_standardized_new,name_match
647,Andijon viloyati,Doʻng qishloq MFY,1703,Andijon tumani,1703203,1703203066.0,31956.7317263278,36973032.29891604,dong qishloq mfy,,,,,,
648,Andijon viloyati,Obi hayot MFY,1703,Andijon tumani,1703203,1703203023.0,11193.1776891328,3775216.955061504,obi hayot mfy,,,,,,
658,Andijon viloyati,Ittifoq MFY,1703,Andijon tumani,1703203,1703203017.0,18793.3016273405,6249914.918122195,ittifoq mfy,,,,,,
684,Andijon viloyati,Yangi naynavo MFY,1703,Shahrixon tumani,1703230,1703230039.0,10623.9532776607,6477574.502196576,yangi naynavo mfy,,,,,,
689,Andijon viloyati,Besh MFY,1703,Shahrixon tumani,1703230,1703230058.0,17287.1132322534,12451079.3730574,besh mfy,,,,,,
706,Andijon viloyati,Doʻrman MFY,1703,Shahrixon tumani,1703230,1703230004.0,12177.7339520198,3321862.2154004364,dorman mfy,,,,,,
709,Andijon viloyati,Buvayda MFY,1703,Shahrixon tumani,1703230,1703230059.0,5921.173450588,1862281.61899198,buvayda mfy,,,,,,
711,Andijon viloyati,Nabaxor MFY,1703,Shahrixon tumani,1703230,1703230066.0,5911.6892017143,1813855.0182237944,nabahor mfy,,,,,,
713,Andijon viloyati,Yoshlik MFY,1703,Shahrixon tumani,1703230,1703230078.0,5976.2131085554,1316572.2207251429,yoshlik mfy,,,,,,
714,Andijon viloyati,Terak tagi MFY,1703,Shahrixon tumani,1703230,1703230070.0,6547.4812900277,1556609.354759094,terak tagi mfy,,,,,,
715,Andijon viloyati,Shaxrixonlik MFY,1703,Shahrixon tumani,1703230,1703230072.0,4768.5672161609,1235303.7744196942,shahrihonlik mfy,,,,,,
717,Andijon viloyati,Yakkatut MFY,1703,Shahrixon tumani,1703230,1703230073.0,6577.2716674282,2212920.2212416176,yakkatut mfy,,,,,,
722,Andijon viloyati,Namozgox MFY,1703,Shahrixon tumani,1703230,1703230068.0,6686.7211131021,1307229.3223239735,namozgoh mfy,,,,,,
729,Andijon viloyati,O‘zbegim (Sulton jo‘ra) MFY,1703,Andijon shahar,1703401,1703401013.0,4476.0072566794,852101.9675716934,ozbegim sulton jora mfy,,,,,,
730,Andijon viloyati,Yuksalish (Sulton jo‘ra) MFY,1703,Andijon shahar,1703401,1703401091.0,6329.4253721009,1200997.4595531684,yuksalish sulton jora mfy,,,,,,
733,Andijon viloyati,Yoyilma (1-son) MFY,1703,Andijon shahar,1703401,1703401018.0,3348.5236050172,400574.29423926,yoyilma 1son mfy,,,,,,
734,Andijon viloyati,Yangi Bo‘ston (1-son) MFY,1703,Andijon shahar,1703401,1703401093.0,3104.7330093962,539695.445145016,yangi boston 1son mfy,,,,,,
738,Andijon viloyati,Bunyodkor (9-son) MFY,1703,Andijon shahar,1703401,1703401040.0,3073.962226351,454874.9377395667,bunyodkor 9son mfy,,,,,,
743,Andijon viloyati,Yashnaoobod MFY,1703,Andijon shahar,1703401,1703401094.0,3478.0332439436,249305.3207253919,yashnaoobod mfy,,,,,,
749,Andijon viloyati,Sog‘lom avlod (2-son),1703,Andijon shahar,1703401,1703401012.0,2898.9235470628,390396.0630014382,soglom avlod 2son,,,,,,
756,Andijon viloyati,Orday MFY,1703,Xo'jaobod tumani,1703236,1703236025.0,30075.9809855707,23593838.793262973,orday mfy,,,,,,
766,Farg'ona viloyati,A.Choʻlpon MFY,1730,Quvasoy shahar,1730408,1730408025.0,4659.5734407983,797072.6456908364,acholpon mfy,,,,,,
767,Farg'ona viloyati,A.Temur MFY,1730,Quvasoy shahar,1730408,1730408023.0,8412.0542392716,2644973.020537054,atemur mfy,,,,,,
774,Farg'ona viloyati,X.Olimjon MFY,1730,Quvasoy shahar,1730408,1730408001.0,2433.2176695421,247699.5706299922,holimjon mfy,,,,,,
783,Farg'ona viloyati,Yuqori Muyan MFY,1730,Quvasoy shahar,1730408,1730408007.0,28020.5868080606,20837846.17815316,yuqori muyan mfy,,,,,,
787,Farg'ona viloyati,Muyon MFY,1730,Quvasoy shahar,1730408,1730408003.0,15892.5115864696,8167640.786334333,muyon mfy,,,,,,
795,Farg'ona viloyati,Sayidobod MFY,1730,Bag'dod tumani,1730209,1730209020.0,19665.0449041891,8954056.627076637,sayidobod mfy,,,,,,
800,Farg'ona viloyati,Qo‘shtegirmon 1 MFY,1730,Bag'dod tumani,1730209,1730209041.0,16692.7905146711,3989370.793823345,qoshtegirmon 1 mfy,,,,,,
808,Farg'ona viloyati,Tuvodoq MFY,1730,Bag'dod tumani,1730209,1730209037.0,12702.2766748773,6225918.473233795,tuvodoq mfy,,,,,,
867,Farg'ona viloyati,Oyim qishloq MFY,1730,Buvayda tumani,1730212,1730212012.0,35596.4841154584,18343373.43765728,oyim qishloq mfy,,,,,,
899,Farg'ona viloyati,Qum MFY,1730,Buvayda tumani,1730212,1730212021.0,20077.9913522547,11836552.706973858,qum mfy,,,,,,
957,Farg'ona viloyati,Navro‘z MFY,1730,Marg'ilon shahar,1730412,1730412041.0,20732.9810932919,9125416.74402906,navroz mfy,,,,,,
965,Farg'ona viloyati,Terak tagi MFY,1730,Marg'ilon shahar,1730412,1730412030.0,8532.380849459,1121195.3231541617,terak tagi mfy,,,,,,
986,Farg'ona viloyati,Kashqar MFY,1730,Marg'ilon shahar,1730412,1730412014.0,9016.9839148621,2003303.83718566,kashqar mfy,,,,,,
